no,index,registration,name,address,postcode,tel,fax
81,m,,Mitutoyo Asia Pacific Pte Ltd,24 Kallang Avenue,339415,62942211,62996666
82,m,,ML Tech Pte Ltd,Blk 3023 Ubi Rd 3 #01-02 Ubi Plex 1,408663,67444297,67444894
83,n,201433796D,Nittsu Shoji (Singapore) Pte. Ltd.,"80 Anson Road, #25-05, Fuji Xerox Towers",79907,65131587,65131219
84,n,,NPC Systems Pte Ltd,"15-B, Tuas Road",638518,62689188,62683997
85,o,,Oerlikon Balzers Coating S'pore Pte Ltd,"21, Kian Teck Drive",628838,62686227,62656992
86,o,,Okamoto (Singapore) Pte Ltd,"10 Riverside Road, off Marsiling Lane",739082,63623818,63623368
87,o,,Onn Wah Precision Engrg. Pte Ltd,"11, Changi South Lane, Onn Wah Bldg. ",486154,68443868,68443118
88,o,,Optical Gaging (S) Pte Ltd.,"21, Tannery Road ",347733,67418880,67418998
89,p,200514843Z,PERFECT TECHNOLOGY (S) PTE. LTD.,"2, BUKIT BATOK STREET 24, #06-12",659480,65680477,65631477
90,p,,PLC Industries Pte Ltd.,Blk 28B Penjuru Close #01-01,609130,62652908,62655036
91,p,,Precise Metrology Pte Ltd,"79, Yio Chu Kang Gardens",568127,96423222,63356551
92,p,,Production Link Pte Ltd.,"48, Toh Guan Rd East #09-131, Enterprise Hub",608586,64622477,64622505
93,p,,PSB Technologies Pte Ltd,"2306, Bedok Reservoir Road, Advanex Building, Bedok Industrial Pack C",479224,66714880,62463685
94,p,,Punch Industry Singapore Pte Ltd,"33, Ubi Ave 3 #06-10, VERTEX (Lobby B) ",408868,65334151,65334152
95,q,,Qualitools Precision Engineering Pte Ltd,"Blk 1022, Tai Seng Avenue #03-3530",534415,64876348,64876349
96,r,,R & D Holdings Pte Ltd,"11E, Tuas Road",638511,62657555,62657666
97,r,,Racer Technology Pte Ltd,"28, Changi South St.1",486772,65468318,65468313
98,r,199202375K,RICHPORT TECHNOLOGY PTE LTD,"107, NEYTHAL ROAD",628595,62678083,64841214
99,s,,Saeilo Technologies Pte Ltd,"16, Arumugam Rd, Lion Bldg D, #02-03A",787602,64512616,64514211
100,s,199608326K,Sakura Tech (S) Pte Ltd,"Block 5002, Ang Mo Kio 5, #05-09, Techplace II",569871,64846977,68535977
101,s,,Santak Holding Ltd,"31, Senoko South Road, Woodlands East Ind. Estate",758084,67554788,67547088
102,s,,Sanwa Plastic Industry Pte Ltd,28 Woodlands Loop,738308,67551123,67547466
103,s,199404030C,SB DARRON PTE LTD,"14, GUL STREET 3",629268,68614302,68614556
104,s,,Schmolz + Bickenbach S'pore Pte Ltd.,"1, Toh Tuck Link, #04-02",596222,65155929,65155909
105,s,,Sei Woo Polymer Technologies Pte Ltd.,Blk 1002 Jalan Bukit Merah #06-13/16,159456,65930609,67584883
106,s,,Singa Plastics Ltd,No. 1 Fourth Chin Bee Road,619697,62650922,62657194
107,s,199408931H,SINGAPORE SPRING PTE LTD,"1026, TAI SENG AVENUE, #03-3544/3546",534413,68417311,67457079
108,s,,Sodick Singapore Pte Ltd,"Blk 50, Ubi Crescent #01-04, Ubi Techpark",408568,67469089,67469048
109,s,,Sonic Precision Industries PL,Blk 1022 Tai Seng Ave #05-3514,534415,62863625,62857592
110,s, 201003990W,ST MACHINERY PTE. LTD.,"2023, BUKIT BATOK STREET 23, #01-100",659528,65600776,65603665
111,s,,Stamford Precision Tools Pte Ltd.,Blk 512 Chai Chee Lane #02-12,469028,62432622,62430632
112,s,,Stamping Industries Pte Ltd,2A Changi North Street 2,498804,65427723,65422060
113,s,,Stober Singapore Pte Ltd,"50, Tagore Lane, #05-06, Entrepreneur Centre",787494,65112912,65112969
114,s,,Sunningdale Tech Ltd,"51, Joo Koon Circle ",408621,68611161,68634173
115,s,,Sunny Instruments S'pore Pte Ltd,Blk 1003 Bukit Merah Central #01-09/10,159836,62788083,62788283
116,s,,Sunny Metal & Engineering Pte Ltd,35 Changi South Avenue 2,629069,65451488,65459686
117,s,199506887N,Sunyi Precision Engineering Pte Ltd,"994 Bendemeer Road, #07-07",339943,62831865,63820442
118,s,,Sutton Tools Singapore Pte Ltd,"No.1, Ubi View #03-18, Focus One ",408555,67456388,67455080
119,s,,Swiss Precision Ind. (Pte) Ltd,15 Kian Teck Road,628770,62653517,62641849
120,t,198800524H,TACH PRECISION ENGINEERING PTE LTD,"994, BENDEMEER ROAD, #06-05",339943,63924454,62973897
121,t,,Taipei Industries Pte Ltd,"2, Kallang Pudding Road, #02-15",349307,67420778,67412607
122,t,,Techtown Pte Ltd,"8, Burn Road, Trivex #05-12",369977,67413318,67410181
123,t,,Trend Singapore West Pte Ltd,36 Joo Koon Circle,629061,68625500,68625522
124,t,200802395M,Titan Engineering Pte Ltd,"31 Woodlands Close #06-09, Woodlands Horizon",737855,68537424,68534970
125,u,,Uni-Corp (S) Pte Ltd,"20, Ang Mo Kio Ind Park 2A #03-02",567761,67567688,67567088
126,u,,Unique Mould Manufacturer Pte Ltd,105/107 Kallang Way 3,349116,67475226,67454988
127,u,,Univac Precision Engrg. Pte Ltd,"211 Woodlands Ave 9 #01-86, Woodlands Spectrum II",738960,64573034,64592393
